Date,Action,Qty,Price,Amount,Cash,PositionQty,PositionValue,TotalEquity,QQQ_Open,QQQ_Close,QQQ_200MA,QQQ_Gap%,QQQ_前高,QQQ_前高日期,TQQQ_Open,TQQQ_Close,PnL
2021-01-06,Buy,935,21.36,19991.5716,80008.4284,935,19971.6,99980.02840000001,307.0,307.54,261.6,-1.6%,313.74,2020-12-31,21.24,21.36,
2021-01-11,Buy,878,22.74,19985.685719999998,60022.74268000001,1813,41227.619999999995,101250.36268,315.98,314.42,263.56,-1.0%,319.03,2021-01-08,23.1,22.74,
2021-01-27,Buy,840,23.77,19986.766799999998,40035.97588000001,2653,63061.81,103097.78588000001,326.26,319.43,270.59,-0.7%,328.59,2021-01-26,25.32,23.77,
2021-01-29,Buy,883,22.62,19993.43346,20042.542420000012,3536,79984.32,100026.86242000002,319.58,314.56,271.67,-0.5%,328.59,2021-01-26,23.73,22.62,
2021-02-22,Buy,826,24.18,19992.65268,49.88974000001326,4362,105473.16,105523.04974000002,326.5,322.44,280.43,-1.4%,336.45,2021-02-12,25.14,24.18,
2022-01-21,Sell,4362,28.34,123495.46092,123545.35066000001,0,0.0,123545.35066000001,359.47,351.69,365.58,-0.6%,403.99,2021-11-19,30.31,28.34,23545.35066000001
2023-02-03,Buy,1565,12.76,19989.369400000003,103555.98126,1565,19969.4,123525.38126,304.94,306.18,291.47,-2.2%,403.99,2021-11-19,12.61,12.76,
2023-02-08,Buy,1598,12.5,19994.975,83561.00626,3163,39537.5,123098.50626,308.54,304.37,291.06,-0.4%,403.99,2021-11-19,13.03,12.5,
2023-02-16,Buy,1625,12.29,19991.22125,63569.78500999999,4788,58844.52,122414.30500999998,304.38,303.3,290.57,-1.5%,403.99,2021-11-19,12.42,12.29,
2023-03-22,Buy,1619,12.34,19998.438459999998,43571.346549999995,6407,79062.38,122633.72654999999,310.27,306.12,290.09,-0.0%,403.99,2021-11-19,12.86,12.34,
2023-04-25,Buy,1585,12.6,19990.971,23580.375549999993,7992,100699.2,124279.57555,314.29,309.99,293.27,-0.5%,403.99,2021-11-19,13.14,12.6,
